,comment
390,你没有美貌的脸，却有恶毒的心。 
391,回复@辰溪睡着了鸭:人团子可没欺骗过少男们 
392,别想了，你也就配和朱露莎一决胜负 
393,回复@假面迷彩屌丝男:哈哈哈哈哈哈哈 我头都笑掉了 
394,回复@凉凉凉凉茶_:嘻嘻谢谢 
395,现在只有70岁老大爷能和奶奶一决高下了。 
396,回复@Spoem_TIDE:谢谢谢谢谢谢谢谢谢谢谢谢谢谢，嘿嘿😁 
397,回复@十年女林:谢谢您 
398,脑子怕不是有问题，坤坤比你小多了，你叫人家哥哥？而且你有什么才艺？长的又丑，还骗人说你是颜值主播，收手吧，58岁的老奶奶。 
399,奶奶，我哭了，他们现在都给我叫龟龟，因为我喜欢你。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
400,回复@只会说meaqua:好可爱的鸡咪 
401,回复@校语妍妍:xswl你好可啊啊 
402,别叫哥哥使不得阿婆 
403,回复@茶樹樹喲:你太可可了 
404,回复@沁雨幽:得先让你自己试试才可以，对吧 
405,妈耶，你也配哈！cxk那脸可是货真价实的，他可不是五十八岁的老爷子。这届黑粉太好带了，真得谢谢乔萝莉（呕）🤔cxk好歹做过慈善，你干过啥？cxk粉丝得上千万了吧，你呢？cxk真有实力，你呢？黑料是多，但是他闪光点也不少。至于你。啊哈哈哈哈 
406,回复@最後一年貧窮:谢谢，你太可可了 
407,回复@乖巧巧:谢谢鸭，小姐姐人美心善鸭 
408,你的脸大的顶蔡徐坤3个巴掌脸。 
409,你和坤坤平起平坐 
410,滚 司马玩意儿 
411,回复@假面迷彩屌丝男:只有胸是真的 
412,回复@抗压吧务团队_1:兄弟有钱一起赚啊 
413,你有没有老公儿子啊你老公儿子看见你不羞惭的找个地洞卡进去啊？ 
414,奶奶您都四五十了咱咋不能服服老，您把蔡徐坤大了不知道多少岁咋不能消停会，人家好歹有颜你有吗，都四五十了咱好好活着不行吗（个人意见） 
415,回复@辰宿啊:谢谢吖 
416,回复@Suc_1356:受宠若惊啊 
417,58岁的老奶奶叫哥哥那些直男一个个都60岁吗哈哈哈哈你个不要脸的。 
418,回复@舞台夢想家:那是奶奶 
419,奶奶啊人老了想跟时代潮流没啥错。就是想拿蔡徐坤出来给你当挡箭牌呢转移注意力了我可就骂死你这个了。 
420,回复@舞台夢想家:那是奶奶 
421,奶奶啊人老了想跟时代潮流没啥错。就是想拿蔡徐坤出来给你当挡箭牌呢转移注意力了我可就骂死你这个了。 
422,回复@只会说meaqua:啊啊啊谢谢你 
423,回复@-真的没有糖-:好棒呀 
424,回复@syokk:微信到账5元 哇！乔老婆子真实大手笔 
425,回复@82g桉葉冰:不要带你一爹好吧，不要蹭什么热度，你都五六十岁了，不是我嘴巴臭，不要蹭热度好吧，巨C就是巨C 
426,……有点好看 
427,36D，走，为上策 
428,回复@张起灵_Kunnni:鸡你太美 
429,回复@校语妍妍:美 
430,回复@校语妍妍:鸡你太 
